Auxiliares,Constantes,Dimensiones,Mediciones,Resultado,Nominal,Total Superior,Pre Total Superior,Pre Total Inferior,Total Inferior,Descripción,Armonicas,Nro. de Dientes,Cant. de Dientes x pieza
T1,177.000000,2.950000,T1,D0,0.000000,0.200000,0.200000,0.000000,0.000000,Ø sup. 295 D2,8.000000,5.000000,6.000000
T1,66.500000,0.000000,T1,Fr,0.000000,0.200000,0.200000,0.000000,0.000000,Ø inf. 295 D1,,,
T1,29.500000,295.101013,T1,Frp,0.000000,0.100000,0.100000,0.000000,0.000000,RunOut de pista de frenado,,,
T1,30.000000,1.080000,T1,Z2,0.000000,0.020000,0.020000,0.000000,0.000000,Redondez sup,,,
T1,0.000000,5.052000,T1,Z1,0.000000,0.020000,0.020000,0.000000,0.000000,Redondez inf,,,
T1,0.000000,5.052000,T1,Ec,0.000000,0.040000,0.040000,0.000000,0.000000,Redondez Circ. inf D1,,,
T1,,0.000000,T1,L1,0.000000,0.040000,0.040000,0.000000,0.000000,Conicidad,,,
T1,,0.000000,T1,L2,0.000000,0.040000,0.040000,0.000000,0.000000,Conicidad,,,
,,,T1,Fi,0.000000,0.000000,0.000000,0.000000,0.000000,Fi,,,
,,,T1,Fk,0.000000,0.000000,0.000000,0.000000,0.000000,Fk,,,
,,,T1,HN1,0.000000,0.000000,0.000000,0.000000,0.000000,HN1,,,
,,,T1,HN2,0.000000,0.000000,0.000000,0.000000,0.000000,HN2,,,
,,,T1,HN3,0.000000,0.000000,0.000000,0.000000,0.000000,HN3,,,
,,,T1,HN4,0.000000,0.000000,0.000000,0.000000,0.000000,HN4,,,
,,,T1,HN5,0.000000,0.000000,0.000000,0.000000,0.000000,HN5,,,
,,,T1,HN6,0.000000,0.000000,0.000000,0.000000,0.000000,HN6,,,
,,,T1,CIRC,0.000000,0.000000,0.000000,0.000000,0.000000,CIRC,,,
,,,T1,TIR,0.000000,0.000000,0.000000,0.000000,0.000000,TIR,,,
