Auxiliares,Constantes,Dimensiones,Mediciones,Resultado,Nominal,Total Superior,Pre Total Superior,Pre Total Inferior,Total Inferior,Descripción
(T4-T7)/K1,177.000000,2.950000,-(T9+T10)+D1,MED,295.000000,0.200000,0.200000,0.000000,0.000000,Ø sup. 295 D2
T11-(T1-T2)/2-(A1/2*K2),66.500000,0.000000,-(T11+T12)+D3,MED,295.000000,0.200000,0.200000,0.000000,0.000000,Ø inf. 295 D1
T1,29.500000,295.101013,A2,TIR,0.000000,0.100000,0.100000,0.000000,0.000000,RunOut de pista de frenado
T1,30.000000,1.080000,A3,RG2,0.000000,0.020000,0.020000,0.000000,0.000000,Redondez sup
T6,0.000000,5.052000,A4,RG2,0.000000,0.020000,0.020000,0.000000,0.000000,Redondez inf
T7,0.000000,5.052000,A4,RGO,0.000000,0.040000,0.040000,0.000000,0.000000,Redondez Circ. inf D1
T3+0*(A1*K2+T4),,0.000000,((-(T9+T10)+D1)-(-(T11+T12)+D3)),MED,0.000000,0.040000,0.040000,0.000000,0.000000,Conicidad
T1,,0.000000,-(T1+T2)+D4,MED,108.000000,0.056000,0.056000,0.010000,0.010000,Ø 108 piloto
T1,,0.000000,A5,CIR,0.000000,0.080000,0.080000,0.000000,0.000000,PLANICIDADE CIRCUNFERENCIAL INT.
,,0.000000,A6,CIR,0.000000,0.080000,0.080000,0.000000,0.000000,Planicidad Circunferencial Externa
,,0.000000,ABS((T4-T6)-0*A1*K3)+D2,MAX,0.000000,0.150000,0.150000,0.000000,0.000000,Planicidad Radial Apoyo
,,0.000000,((T3-T5)/K4+A1)*K4,RGO,0.000000,0.200000,0.200000,0.000000,0.000000,Paralelismo B
,,65.027000,A7,TIR,0.000000,0.100000,0.100000,0.000000,0.000000,Batimento da Brida
,,0.005000,((T3+T5+D5)+(T4+T6+D6))/2,MXM,5.000000,0.300000,0.300000,-0.200000,-0.200000,Espersor
,,62.548000,A8,HN2,0.000000,0.020000,0.020000,0.000000,0.000000,HN2
,,62.528999,A10,HN3,0.000000,0.010000,0.010000,0.000000,0.000000,HN3
,,219.003006,A9,HN4,0.000000,0.005000,0.005000,0.000000,0.000000,HN4
,,219.050995,A8,HN5,0.000000,0.005000,0.005000,0.000000,0.000000,HN5
,,219.078995,A10,HN6,0.000000,0.005000,0.005000,0.000000,0.000000,HN6
,,303.014008,A9,HN1,0.000000,0.002000,0.002000,0.000000,0.000000,HN1
,,0.000000,A8,HN2,0.000000,0.002000,0.002000,0.000000,0.000000,HN2
,,0.000000,A10,HN3,0.000000,0.002000,0.002000,0.000000,0.000000,HN3
,,0.000000,A9,HN4,0.000000,0.002000,0.002000,0.000000,0.000000,HN4
,,0.000000,A8,HN5,0.000000,0.002000,0.002000,0.000000,0.000000,HN5
,,,A7,HN6,0.000000,0.002000,0.002000,0.000000,0.000000,HN6
,,,(T3+T5+D5),MED,5.000000,0.300000,0.300000,-0.200000,-0.200000,Espedsor exterior
,,,(T4+T6+D6),MAX,5.000000,0.300000,0.300000,-0.200000,-0.200000,Espesor interior
,,,T1+1,MIN,0.000000,0.010000,0.000000,0.000000,0.000000,T1
,,,T2,MXN,0.000000,0.010000,0.000000,0.000000,0.000000,T2
,,,T3,MNM,0.000000,0.010000,0.000000,0.000000,0.000000,T3
,,,T4,RGM,0.000000,0.010000,0.000000,0.000000,0.000000,T4
,,,T5,RGO,0.000000,0.010000,0.000000,0.000000,0.000000,T5
,,,T6,RG2,0.000000,0.010000,0.000000,0.000000,0.000000,T6
,,,T7,MED,0.000000,0.010000,0.000000,0.000000,0.000000,T7
,,,T8,MAX,0.000000,0.010000,0.000000,0.000000,0.000000,T8
,,,T9,MIN,0.000000,0.010000,0.000000,0.000000,0.000000,T9
,,,T10,MXN,0.000000,0.010000,0.000000,0.000000,0.000000,T10
,,,T11,MNM,0.000000,0.010000,0.000000,0.000000,0.000000,T11
,,,T12,RGM,0.000000,0.010000,0.000000,0.000000,0.000000,T12
,,,T13,RGO,0.000000,0.010000,0.000000,0.000000,0.000000,T13
,,,T14,RG2,0.000000,0.010000,0.000000,0.000000,0.000000,T14
,,,T15,MED,0.000000,0.010000,0.000000,0.000000,0.000000,T15
,,,T16,MED,0.000000,0.010000,0.000000,0.000000,0.000000,T16
