Muestras;Original;           FFT;       Suavizada;       IFFT(FFT)
1;0.0050416670000000;7.0819567550000002 +(0.0000000000000000i);0.0007491727446485;0.0050416670000000
2;0.0065000000000000;2.8898730891241016 +(10.9627553419999370i);0.0007464436790388;0.0065000000000000
3;0.0067708330000000;6.6914426312978845 +(-5.5578274332349675i);0.0007439016690012;0.0067708330000000
4;0.0071166670000000;-7.6754852315211757 +(-8.7170186432351411i);0.0007415478264045;0.0071166670000000
5;0.0075178570000000;-1.7466863748647956 +(0.6485488432210266i);0.0007393832409077;0.0075178570000000
6;0.0079333330000000;0.2347752233160308 +(-0.1938749062867445i);0.0007374089798199;0.0079333330000000
7;0.0082500000000000;1.0890145488537475 +(-0.3609960674802430i);0.0007356260879630;0.0082500000000000
8;0.0087250000000000;-3.3616357901182052 +(5.4438690331230717i);0.0007340355875373;0.0087250000000000
9;0.0091500000000000;-2.1346432890073350 +(-0.4657691285425811i);0.0007326384779897;0.0091500000000000
10;0.0095535710000000;0.3838997169765890 +(3.2942207104105203i);0.0007314357358856;0.0095535710000000
11;0.0099166670000000;3.6198592563335703 +(-2.5636457612576713i);0.0007304283147837;0.0099166670000000
12;0.0103000000000000;-0.0939463208434539 +(1.5383722334812124i);0.0007296171451129;0.0103000000000000
13;0.0106071430000000;-0.1885387309298819 +(0.4296940451186960i);0.0007290031340536;0.0106071430000000
14;0.0108125000000000;2.1201404037388003 +(2.4373193796197405i);0.0007285871654210;0.0108125000000000
15;0.0110535710000000;0.0112751489771836 +(-1.7599990920163662i);0.0007283700995520;0.0110535710000000
16;0.0112500000000000;1.4221114510651585 +(1.7940253999642719i);0.0007283527731950;0.0112500000000000
17;0.0113833330000000;-0.1793946360799335 +(-0.5255069815704079i);0.0007285359994029;0.0113833330000000
18;0.0114464290000000;3.7872121596944894 +(0.2921464582746822i);0.0007289205674287;0.0114464290000000
19;0.0113833330000000;-2.2514793897875895 +(-1.6285977381838945i);0.0007295072426251;0.0113833330000000
20;0.0113500000000000;1.8899626011472512 +(0.8434234086883590i);0.0007302967663465;0.0113500000000000
21;0.0112222220000000;1.0953971599059416 +(-1.0225223805768477i);0.0007312898558541;0.0112222220000000
22;0.0110357140000000;2.8694256659155699 +(-1.6534231509421202i);0.0007324872042250;0.0110357140000000
23;0.0108750000000000;-3.4386951737740814 +(0.0817427892986558i);0.0007338894802630;0.0108750000000000
24;0.0106666670000000;2.5867306900615752 +(0.8832270145196706i);0.0007354973284141;0.0106666670000000
25;0.0104666670000000;-0.0759482609934772 +(-0.2171371422897144i);0.0007373113686841;0.0104666670000000
26;0.0103181820000000;0.9298246027604992 +(-3.1323302256827885i);0.0007393321965597;0.0103181820000000
27;0.0103166670000000;-2.2800254705368341 +(1.5864070218343689i);0.0007415603829327;0.0103166670000000
28;0.0103571430000000;1.3523857802402446 +(-1.6629476449391198i);0.0007439964740277;0.0103571430000000
29;0.0105666670000000;1.0174147345291233 +(0.7804698458529729i);0.0007466409913325;0.0105666670000000
30;0.0107666670000000;0.3478255326853852 +(-2.2666435290649756i);0.0007494944315322;0.0107666670000000
31;0.0110357140000000;-0.1870258369489337 +(3.3676837202315397i);0.0007525572664459;0.0110357140000000
